"ticker","title","summary","published","description","link","language","subject","sector","published_est","market","hour_of_day","begin_price","end_price","index_begin_price","index_end_price","return","index_return","alpha"
ELOX,Eloxx Pharmaceuticals Reports First Quarter 2023 Financial and Operating Results and Provides Business Update,Topline results to include biopsy results for the Phase 2 clinical study evaluating ELX-02 for the potential treatment of Alport syndrome expected in first half of 2023; meaningful protein reduction has been observed in one patient to date,2023-05-15 23:30:00.000 +0300,Topline results to include biopsy results for the Phase 2 clinical study evaluating ELX-02 for the potential treatment of Alport syndrome expected in first half of 2023; meaningful protein reduction has been observed in one patient to date,https://www.globenewswire.com/news-release/2023/05/15/2669369/0/en/Eloxx-Pharmaceuticals-Reports-First-Quarter-2023-Financial-and-Operating-Results-and-Provides-Business-Update.html,,Earnings Releases and Operating Results,biotech,2023-05-15 18:30:00.000 +0300,market_open,15,3.5399999618530273,10.899999618530273,412.2200012207031,413.010009765625,2.07909597061821,0.0019164731031546998,2.077179497515055
TTOO,T2 Biosystems Receives FDA Breakthrough Device Designation for Candida Auris Diagnostic Test,"LEXINGTON, Mass., July  20, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO), a leader in the rapid detection of sepsis-causing pathogens and antibiotic resistance genes, announced today the U.S. Food and Drug Administration (FDA) has granted Breakthrough Device designation for the Company’s Candida auris (C. auris) direct-from-blood molecular diagnostic test.",2023-07-20 15:30:00.000 +0300,"LEXINGTON, Mass., July  20, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO), a leader in the rapid detection of sepsis-causing pathogens and antibiotic resistance genes, announced today the U.S. Food and Drug Administration (FDA) has granted Breakthrough Device designation for the Company’s Candida auris (C. auris) direct-from-blood molecular diagnostic test.",https://www.globenewswire.com/news-release/2023/07/20/2708188/32489/en/T2-Biosystems-Receives-FDA-Breakthrough-Device-Designation-for-Candida-Auris-Diagnostic-Test.html,,Product / Services Announcement,biotech,2023-07-20 10:30:00.000 +0300,pre_market,7,0.10199999809265137,0.14000000059604645,455.20001220703125,454.1700134277344,0.3725490511174118,-0.002262738909656306,0.3748117900270681
TTOO,T2 Biosystems Announces Submission for FDA Breakthrough Device Designation for Candida Auris Diagnostic Test,Company plans to add multidrug-resistant Candida auris detection to its FDA-cleared T2Candida Panel Company plans to add multidrug-resistant Candida auris detection to its FDA-cleared T2Candida Panel,2023-06-05 16:00:00.000 +0300,Company plans to add multidrug-resistant Candida auris detection to its FDA-cleared T2Candida Panel Company plans to add multidrug-resistant Candida auris detection to its FDA-cleared T2Candida Panel,https://www.globenewswire.com/news-release/2023/06/05/2682027/32489/en/T2-Biosystems-Announces-Submission-for-FDA-Breakthrough-Device-Designation-for-Candida-Auris-Diagnostic-Test.html,,Company Announcement,biotech,2023-06-05 11:00:00.000 +0300,pre_market,8,0.10199999809265137,0.13899999856948853,427.9200134277344,428.2799987792969,0.36274510949724065,0.0008412444855732,0.36190386501166744
TALS,Talaris Therapeutics to Present at the H.C. Wainwright Global Investment Conference,"BOSTON and LOUISVILLE, Ky., May  17, 2022  (GLOBE NEWSWIRE) -- Talaris Therapeutics, Inc. (Nasdaq: TALS), a late-clinical stage cell therapy company developing therapies with the potential to transform the standard of care in solid organ transplantation and severe immune and blood disorders, today announced today announced that Scott Requadt, Chief Executive Officer of Talaris, will be presenting virtually at the H.C. Wainwright Global Investment Conference being held May 23-25, 2022.",2022-05-17 23:01:00.000 +0300,"BOSTON and LOUISVILLE, Ky., May  17, 2022  (GLOBE NEWSWIRE) -- Talaris Therapeutics, Inc. (Nasdaq: TALS), a late-clinical stage cell therapy company developing therapies with the potential to transform the standard of care in solid organ transplantation and severe immune and blood disorders, today announced today announced that Scott Requadt, Chief Executive Officer of Talaris, will be presenting virtually at the H.C. Wainwright Global Investment Conference being held May 23-25, 2022.",https://www.globenewswire.com/news-release/2022/05/17/2445422/0/en/Talaris-Therapeutics-to-Present-at-the-H-C-Wainwright-Global-Investment-Conference.html,,Calendar of Events,biotech,2022-05-17 18:01:00.000 +0300,market_open,15,6.809999942779541,8.890000343322754,406.5299987792969,408.32000732421875,0.30543324787375087,0.004403140113390898,0.30103010776036
ELOX,Eloxx Pharmaceuticals Announces Final Data Assessment from Phase 2 Combination Clinical Trial of ELX-02 in Class 1 Cystic Fibrosis (CF) Patients, ,2023-06-14 23:53:00.000 +0300, ,https://www.globenewswire.com/news-release/2023/06/14/2688488/0/en/Eloxx-Pharmaceuticals-Announces-Final-Data-Assessment-from-Phase-2-Combination-Clinical-Trial-of-ELX-02-in-Class-1-Cystic-Fibrosis-CF-Patients.html,,Clinical Study,biotech,2023-06-14 18:53:00.000 +0300,market_open,15,5.599999904632568,6.980000019073486,437.010009765625,437.17999267578125,0.24642859606110362,0.0003889680015508,0.2460396280595528
PYPD,PolyPid Announces Reverse Share Split,"PETACH TIKVA, Israel, Sept.  20, 2023  (GLOBE NEWSWIRE) -- PolyPid Ltd. (Nasdaq: PYPD) (“PolyPid” or the “Company”), a late-stage biopharma company aiming to improve surgical outcomes, today announces a reverse share split (the “Reverse Split”) of the Company’s issued and outstanding ordinary shares, no par value (“Ordinary Shares”), at the ratio of 1-for-30, such that each thirty (30) Ordinary Shares, shall be consolidated into one (1) Ordinary Share.",2023-09-20 16:15:00.000 +0300,"PETACH TIKVA, Israel, Sept.  20, 2023  (GLOBE NEWSWIRE) -- PolyPid Ltd. (Nasdaq: PYPD) (“PolyPid” or the “Company”), a late-stage biopharma company aiming to improve surgical outcomes, today announces a reverse share split (the “Reverse Split”) of the Company’s issued and outstanding ordinary shares, no par value (“Ordinary Shares”), at the ratio of 1-for-30, such that each thirty (30) Ordinary Shares, shall be consolidated into one (1) Ordinary Share.",https://www.globenewswire.com/news-release/2023/09/20/2746559/0/en/PolyPid-Announces-Reverse-Share-Split.html,,Stock Market News,biotech,2023-09-20 11:15:00.000 +0300,pre_market,8,6.03000020980835,7.5,442.7099914550781,444.010009765625,0.24378105125113606,0.002936500950145798,0.24084455030099025
ORPHA.CO,Change in management,"The board of directors and CEO/CFO Anders Fink Vadsholt has today entered into a severance agreement pursuant to which Mr. Vadsholt will step down as CEO/CFO of the Company. Regardless, Mr. Vadsholt will remain available for the company until his replacement has been found and all disputes related to the US security class action case has been finally settled, however, in no event longer than until 1 October 2023.",2023-05-30 20:41:00.000 +0300,"The board of directors and CEO/CFO Anders Fink Vadsholt has today entered into a severance agreement pursuant to which Mr. Vadsholt will step down as CEO/CFO of the Company. Regardless, Mr. Vadsholt will remain available for the company until his replacement has been found and all disputes related to the US security class action case has been finally settled, however, in no event longer than until 1 October 2023.",https://www.globenewswire.com/news-release/2023/05/30/2678759/0/en/Change-in-management.html,,European Regulatory News,biotech,2023-05-30 15:41:00.000 +0300,market_open,12,2.259999990463257,2.700000047683716,422.0299987792969,420.17999267578125,0.1946902916270665,-0.004383589102354538,0.19907388072942103
TTOO,T2 Biosystems to Participate in the Gilmartin Group Emerging Growth Company Showcase,"LEXINGTON, Mass., Sept.  07, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO), a leader in the rapid detection of sepsis-causing pathogens and antibiotic resistance genes, today announced plans to participate in the upcoming Gilmartin Group Emerging Growth Company Showcase, taking place virtually. Members of management are scheduled to host a fireside chat on Thursday, September 21, 2023, at 10:30am ET.",2023-09-07 23:05:00.000 +0300,"LEXINGTON, Mass., Sept.  07, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO), a leader in the rapid detection of sepsis-causing pathogens and antibiotic resistance genes, today announced plans to participate in the upcoming Gilmartin Group Emerging Growth Company Showcase, taking place virtually. Members of management are scheduled to host a fireside chat on Thursday, September 21, 2023, at 10:30am ET.",https://www.globenewswire.com/news-release/2023/09/07/2739767/32489/en/T2-Biosystems-to-Participate-in-the-Gilmartin-Group-Emerging-Growth-Company-Showcase.html,,Conference Calls/ Webcasts,biotech,2023-09-07 18:05:00.000 +0300,market_open,15,0.29100000858306885,0.34299999475479126,443.1099853515625,444.8500061035156,0.17869410528514984,0.0039268371498615545,0.17476726813528828
DYAI,"Dyadic to Report First Quarter 2023 Financial Results on Wednesday, May 10, 2023","JUPITER, Fla., April  26, 2023  (GLOBE NEWSWIRE) -- Dyadic International, Inc. (“Dyadic”, “we”, “us”, “our”, or the “Company”) (NASDAQ: DYAI), a global biotechnology company focused on building innovative microbial platforms to address the growing demand for global protein bioproduction and unmet clinical needs for effective, affordable and accessible biopharmaceutical products for human and animal health, today announced that it will report its financial results for first quarter 2023 and host a corporate update conference call on Wednesday, May 10, 2023.",2023-04-26 23:30:00.000 +0300,"JUPITER, Fla., April  26, 2023  (GLOBE NEWSWIRE) -- Dyadic International, Inc. (“Dyadic”, “we”, “us”, “our”, or the “Company”) (NASDAQ: DYAI), a global biotechnology company focused on building innovative microbial platforms to address the growing demand for global protein bioproduction and unmet clinical needs for effective, affordable and accessible biopharmaceutical products for human and animal health, today announced that it will report its financial results for first quarter 2023 and host a corporate update conference call on Wednesday, May 10, 2023.",https://www.globenewswire.com/news-release/2023/04/26/2655687/0/en/Dyadic-to-Report-First-Quarter-2023-Financial-Results-on-Wednesday-May-10-2023.html,,Calendar of Events,biotech,2023-04-26 18:30:00.000 +0300,market_open,15,1.809999942779541,2.0999999046325684,406.7200012207031,404.3599853515625,0.16022097846461064,-0.005802556702540878,0.16602353516715151
TTOO,T2 Biosystems Reports Granting of Inducement Award,"LEXINGTON, Mass., Oct.  06, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO) a leader in the rapid detection of sepsis-causing pathogens, announced today that it issued inducement awards to nine new employees.",2023-10-06 23:07:00.000 +0300,"LEXINGTON, Mass., Oct.  06, 2023  (GLOBE NEWSWIRE) -- T2 Biosystems, Inc. (NASDAQ:TTOO) a leader in the rapid detection of sepsis-causing pathogens, announced today that it issued inducement awards to nine new employees.",https://www.globenewswire.com/news-release/2023/10/06/2756309/32489/en/T2-Biosystems-Reports-Granting-of-Inducement-Award.html,,Contests/Awards,biotech,2023-10-06 18:07:00.000 +0300,market_open,15,0.2240000069141388,0.2630000114440918,421.9700012207031,429.5400085449219,0.1741071577060355,0.017939681262458766,0.15616747644357673
